Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,82,19830,3980,7656,.520,40,149,.268,3940,7507,.525,2371,2978,.796,1149,2443,3592,2272,664,368,1470,2131,10371
2,Los Angeles Lakers*,82,19855,3919,7585,.517,13,94,.138,3906,7491,.521,1549,2161,.717,1258,2505,3763,2356,848,517,1468,1999,9400
3,San Antonio Spurs*,82,19755,3698,7613,.486,64,252,.254,3634,7361,.494,1812,2335,.776,1253,2537,3790,2257,600,555,1293,2217,9272
4,Boston Celtics*,82,19780,3657,7334,.499,49,184,.266,3608,7150,.505,1817,2457,.740,1253,2489,3742,2126,652,568,1452,2014,9180
5,Philadelphia 76ers*,82,19855,3616,6974,.518,41,139,.295,3575,6835,.523,1846,2471,.747,1031,2389,3420,2264,856,622,1474,2183,9119
6,Detroit Pistons,82,19830,3561,7391,.482,52,213,.244,3509,7178,.489,1938,2581,.751,1298,2345,3643,2027,741,564,1629,2160,9112
7,Utah Jazz,82,19780,3679,7446,.494,22,97,.227,3657,7349,.498,1714,2282,.751,1147,2362,3509,1895,700,357,1435,2196,9094
8,Golden State Warriors,82,19780,3646,7349,.496,91,325,.280,3555,7024,.506,1709,2382,.717,1282,2452,3734,1820,685,391,1424,2225,9092
9,Portland Trail Blazers,82,19780,3629,7187,.505,29,140,.207,3600,7047,.511,1719,2387,.720,1142,2355,3497,2054,706,367,1390,2012,9006
10,San Diego Clippers,82,19755,3552,7101,.500,99,338,.293,3453,6763,.511,1693,2341,.723,1131,2196,3327,1878,636,299,1570,2353,8896
11,Milwaukee Bucks*,82,19805,3544,7015,.505,49,164,.299,3495,6851,.510,1753,2329,.753,1167,2415,3582,2233,763,455,1589,2281,8890
12,Seattle SuperSonics*,82,19830,3505,7178,.488,38,153,.248,3467,7025,.494,1747,2362,.740,1103,2544,3647,2103,691,460,1351,2057,8795
13,Kansas City Kings,82,19880,3604,7284,.495,26,130,.200,3578,7154,.500,1551,2158,.719,1086,2276,3362,2056,743,402,1507,2359,8785
14,New Jersey Nets*,82,19780,3501,7227,.484,30,146,.205,3471,7081,.490,1714,2354,.728,1194,2320,3514,2096,918,481,1650,2295,8746
15,Chicago Bulls,82,19880,3369,6728,.501,54,213,.254,3315,6515,.509,1951,2545,.767,1125,2525,3650,2043,580,483,1636,2008,8743
16,New York Knicks,82,19830,3523,7178,.491,58,214,.271,3465,6964,.498,1603,2171,.738,1168,2273,3441,2075,719,338,1486,2195,8707
17,Phoenix Suns*,82,19830,3508,7140,.491,54,174,.310,3454,6966,.496,1635,2157,.758,1123,2517,3640,2223,753,429,1528,2029,8705
18,Houston Rockets*,82,19780,3504,7366,.476,50,176,.284,3454,7190,.480,1622,2225,.729,1403,2284,3687,1977,648,429,1321,1871,8680
19,Dallas Mavericks,82,19730,3390,7224,.469,55,190,.289,3335,7034,.474,1740,2366,.735,1213,2228,3441,2117,566,313,1317,2193,8575
20,Washington Bullets*,82,19830,3400,7168,.474,59,236,.250,3341,6932,.482,1626,2105,.772,1047,2583,3630,1983,643,397,1390,2072,8485
21,Cleveland Cavaliers,82,19805,3405,7334,.464,25,137,.182,3380,7197,.470,1628,2179,.747,1190,2170,3360,1871,634,357,1319,2193,8463
22,Indiana Pacers,82,19830,3332,7164,.465,103,316,.326,3229,6848,.472,1612,2176,.741,1141,2372,3513,1897,753,494,1393,2041,8379
23,Atlanta Hawks*,82,19880,3210,6776,.474,28,128,.219,3182,6648,.479,1833,2387,.768,1135,2368,3503,1815,608,485,1343,2268,8281
,League Average,82,19813,3554,7236,.491,49,187,.262,3504,7048,.497,1747,2343,.746,1176,2389,3565,2063,700,440,1454,2146,8903
